pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,7,3,31,3,,,,,80.33278369996697,,80.3067061000038,80.33278369996697,81.33257749991026,81.33257749991026,81.33257749991026,81.33257749991026,81.36562599998433,82.33284339995589,82.33284339995589,82.70198849996086,z,1,0.3556612000102177,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,8,0,32,0,,,,,82.73218169994652,,82.70591409993358,82.73218169994652,83.73254080000333,83.73254080000333,83.73254080000333,83.73254080000333,83.76553639990743,84.73258909990545,84.73258909990545,85.63467579998542,x,1,0.869664300000295,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,8,1,33,1,,,,,85.66496859991457,,85.6385222999379,85.66496859991457,86.66474279994145,86.66474279994145,86.66474279994145,86.66474279994145,86.69808279990684,87.66474639996886,87.66474639996886,87.86818629992194,v,1,0.1845513000153005,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,8,2,34,2,,,,,87.89806649996899,,87.87223689991515,87.89806649996899,88.89827439992223,88.89827439992223,88.89827439992223,88.89827439992223,88.93162699998356,89.89786119991913,89.89786119991913,90.1867638999829,c,1,0.2779954000143334,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,8,3,35,3,,,,,90.21478899999056,,90.19184330001008,90.21478899999056,91.21452849998605,91.21452849998605,91.21452849998605,91.21452849998605,91.2482157999184,92.23101300001144,92.23101300001144,92.7672453999985,z,1,0.5213295000139624,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,9,0,36,0,,,,,92.7985398999881,,92.77097399998456,92.7985398999881,93.79817049996927,93.79817049996927,93.79817049996927,93.79817049996927,93.83038229995873,94.79766569996718,94.79766569996718,95.36711260001175,x,1,0.5472496000584215,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,9,1,37,1,,,,,95.39726989995688,,95.37107699993066,95.39726989995688,96.39824529993348,96.39824529993348,96.39824529993348,96.39824529993348,96.43108429992571,97.39761459990405,97.39761459990405,97.76645619992632,v,1,0.35723889991641045,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,9,2,38,2,,,,,97.79687969991937,,97.77105909993406,97.79687969991937,98.78073819994461,98.78073819994461,98.78073819994461,98.78073819994461,98.79745139996521,99.81322929996531,99.81322929996531,100.18283399997745,c,1,0.34648189996369183,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,9,3,39,3,,,,,100.21340229990892,,100.18730369990226,100.21340229990892,101.19716119999066,101.19716119999066,101.19716119999066,101.19716119999066,101.21385840000585,102.22935089992825,102.22935089992825,102.63264139997773,z,1,0.3826638999162242,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,10,0,40,0,,,,,102.66259869991336,,102.63685040001292,102.66259869991336,103.66288369998801,103.66288369998801,103.66288369998801,103.66288369998801,103.69588959997054,104.67962499998976,104.67962499998976,105.28259269997943,x,1,0.5761831999989226,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
