trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
18,0,18,0,41.1909848000214,,41.16224070001044,41.1909848000214,42.16022140000132,42.209914900013246,42.88057750000735,down,0,0.7164332999964245,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
19,0,19,0,42.908109900017735,,42.88851740001701,42.908109900017735,43.89251649999642,43.9089687000087,44.511762100009946,down,1,0.607712500001071,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
20,0,20,0,44.54049760001362,,44.518264600017574,44.54049760001362,45.526229200011585,45.54254320001928,46.21257230002084,down,0,0.6745462999970187,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
21,0,21,0,46.24114710002323,,46.220831500017084,46.24114710002323,47.22510440001497,47.24239339999622,48.04421459999867,down,1,0.8061825000040699,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
22,0,22,0,48.07328979999875,,48.05134230002295,48.07328979999875,49.05796810000902,49.0756212999986,49.595073300006334,down,1,0.5308076999790501,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
23,0,23,0,49.62295650001033,,49.60146540001733,49.62295650001033,50.60874550000881,50.625207100005355,51.212042200000724,down,1,0.5994193999795243,None,4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
24,0,24,0,51.23915609999676,,51.2191354999959,51.23915609999676,52.22537790000206,52.24177730001975,53.047443600022234,up,1,0.8176652000111062,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
25,0,25,0,53.074393200018676,,53.055204400006915,53.074393200018676,54.07398580000154,54.092084700008854,55.076307700015604,down,1,0.9822501000016928,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
26,0,26,0,55.10616960001062,,55.08918780001113,55.10616960001062,56.10616980001214,56.12454869999783,56.74589439999545,down,1,0.6306725000031292,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
27,0,27,0,56.77370030002203,,56.754160700016655,56.77370030002203,57.7574803000025,57.774036600021645,58.4279755000025,down,0,0.652626600000076,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
28,0,28,0,58.45610300000408,,58.43550590000814,58.45610300000408,59.44205750001129,59.4571795000229,59.944880099996226,down,0,0.494020999991335,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
29,0,29,0,59.97159790000296,,59.95322490000399,59.97159790000296,60.95810580000398,60.974855700012995,61.728367700008675,down,0,0.7666553999879397,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
30,0,30,0,61.75623940001242,,61.73688680000487,61.75623940001242,62.740420600021025,62.75764700002037,63.47824430000037,up,0,0.7210258000122849,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
31,0,31,0,63.5091156999988,,63.48735900002066,63.5091156999988,64.4902962000051,64.52311010000994,65.02663800001028,up,0,0.5197657000098843,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
32,0,32,0,65.05436830001418,,65.03479490001337,65.05436830001418,66.03943260002416,66.05585309999879,66.69479950002278,down,0,0.6482877000235021,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
33,0,33,0,66.72134879999794,,66.70344650000334,66.72134879999794,67.70647600002121,67.72329540000646,69.17593600001419,up,0,1.4514123999979347,None,-2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
34,0,34,0,69.20793450000929,,69.18524270001217,69.20793450000929,70.20371600001818,70.22347120000632,70.9259871999966,up,0,0.7047712000203319,None,-2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
35,0,35,0,70.95434840000235,,70.93487490000552,70.95434840000235,71.93885050000972,71.95566780000809,72.66162670002086,up,1,0.7070447999867611,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
36,0,36,0,72.68711020000046,,72.6702445000119,72.68711020000046,73.67248000000836,73.68888130001142,74.17465540001285,up,1,0.4904134999960661,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
37,0,37,0,74.2036678000004,,74.18097430001944,74.2036678000004,75.1883807000122,75.20519000000786,75.89434560001246,down,1,0.6922121999959927,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
38,0,38,0,75.92046370002208,,75.90410340001108,75.92046370002208,76.90497070000856,76.92143630000646,77.57439590001013,down,1,0.6624307000020053,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
39,0,39,0,77.60308860000805,,77.5820354000025,77.60308860000805,78.58803860002081,78.60442950000288,79.14249470000505,down,1,0.5439490999851841,None,2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
40,0,40,0,79.16956370000844,,79.15165790001629,79.16956370000844,80.15446810002322,80.17083630000707,80.77670550000039,down,1,0.6052060000074562,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
41,0,41,0,80.81956689999788,,80.7914614000183,80.81956689999788,81.78678450000007,81.81987230002414,82.33888720002142,down,0,0.5402504999947269,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
42,0,42,0,82.36784020002233,,82.34434380001039,82.36784020002233,83.35273510002298,83.3693101000099,83.98845689999871,up,1,0.6225769000011496,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
43,0,43,0,84.01800860001822,,83.99316830001771,84.01800860001822,85.0035267000203,85.01999160001287,85.82401939999545,down,1,0.8162306000012904,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
44,0,44,0,85.85152130000643,,85.83319950001896,85.85152130000643,86.83745900000213,86.8548623000097,87.52153480000561,up,1,0.6727676999871619,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
45,0,45,0,87.55011480001849,,87.52768300002208,87.55011480001849,88.53705620000255,88.5533623000083,89.05878920000396,down,0,0.5156916999840178,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
46,0,46,0,89.08523810000042,,89.07169420001446,89.08523810000042,90.08528379999916,90.10355450000498,90.50554040001589,up,1,0.4118824999895878,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
47,0,47,0,90.53390910002054,,90.51111380002112,90.53390910002054,91.5342657000001,91.55290650000097,91.87325760000385,up,1,0.32589290000032634,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
48,0,48,0,91.90210400000797,,91.87960110002314,91.90210400000797,92.88676850000047,92.90310640001553,93.25573230002192,up,1,0.36514029998215847,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
49,0,49,0,93.28366149999783,,93.26281179999933,93.28366149999783,94.2696081000031,94.28552970002056,94.69015670000226,up,0,0.4063525999954436,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
50,0,50,0,94.7175728000002,,94.69815999999992,94.7175728000002,95.70285689999582,95.71917550000944,96.35461790001136,up,1,0.6358304999885149,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
51,0,51,0,96.38330740001402,,96.360866300005,96.38330740001402,97.36880510000628,97.38529840001138,98.00751250001485,up,1,0.6300138999940827,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
52,0,52,0,98.03411390000838,,98.0154143999971,98.03411390000838,99.01875090002432,99.03543600000557,99.83969970000908,up,1,0.809237600013148,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
53,0,53,0,99.86709110002266,,99.84698450000724,99.86709110002266,100.86671440000646,100.88598030002322,101.57290670002112,down,0,0.6911605000204872,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
54,0,54,0,101.60035650001373,,101.58237830002327,101.60035650001373,102.58516099999542,102.60145380001632,103.20681540001533,up,1,0.613467799994396,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
55,0,55,0,103.2330048000149,,103.21563200000674,103.2330048000149,104.2184279000212,104.23508969999966,104.63878269999987,up,0,0.4068525999900885,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
56,0,56,0,104.66679780001868,,104.64685780002037,104.66679780001868,105.65117140000802,105.6684373000171,106.47402360002161,down,1,0.8182237999862991,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
57,0,57,0,106.49932180001633,,106.48285490000853,106.49932180001633,107.48566570002004,107.50241410001763,108.23987469999702,up,1,0.7459343999798875,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
58,0,58,0,108.26659460001974,,108.25114780000877,108.26659460001974,109.26534860001993,109.28326520000701,109.83789429999888,down,1,0.5605388999974821,None,4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
59,0,59,0,109.86558620000142,,109.84663800001726,109.86558620000142,110.85095860000001,110.868644400005,111.48820870000054,down,1,0.6271831000049133,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
60,0,60,0,111.518067099998,,111.49605250000604,111.518067099998,112.51553450000938,112.5360120999976,113.45414170000004,down,1,0.9242489000025671,None,-2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
61,0,61,0,113.48487250000471,,113.46745060000103,113.48487250000471,114.46712010001647,114.5186376000056,115.28883450001013,up,1,0.8084153000090737,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
62,0,62,0,115.31635920002009,,115.299494100007,115.31635920002009,116.29972480001743,116.31661619999795,116.95285750000039,down,0,0.6448586999904364,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
63,0,63,0,116.98122600000352,,116.958887100016,116.98122600000352,117.96934810001403,117.98298530001193,118.64005550000002,down,0,0.6637013999861665,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
64,0,64,0,118.66461530001834,,118.6485304000089,118.66461530001834,119.64940770002431,119.66608150000684,120.40678130000015,down,1,0.7495691000076476,None,4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
65,0,65,0,120.43084440001985,,120.41610080000828,120.43084440001985,121.41715770002338,121.43330750000314,122.30240030001733,up,1,0.8701671000162605,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
66,0,66,0,122.33432740002172,,122.31533350000973,122.33432740002172,123.31621400002041,123.34933960001217,123.9515791000158,up,1,0.6284260000102222,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
67,0,67,0,123.9802333000116,,123.958523600013,123.9802333000116,124.9652466000116,124.9819264000107,125.68614200002048,up,0,0.7112954999902286,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
68,0,68,0,125.71375980001176,,125.69233900000108,125.71375980001176,126.69795729999896,126.7147537000128,127.21796280000126,up,1,0.5132753000070807,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
69,0,69,0,127.24644570000237,,127.22424569999566,127.24644570000237,128.23173130000941,128.24794840000686,128.70258720000857,up,1,0.46537829999579117,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
70,0,70,0,128.72911190000013,,128.71084970000084,128.72911190000013,129.71485960000427,129.73198599999887,130.58866249999846,up,1,0.8652166999818292,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
71,0,71,0,130.63058170001023,,130.60079660001793,130.63058170001023,131.61526120000053,131.63229950002278,132.26903670001775,down,1,0.6427183999912813,None,3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
72,0,72,0,132.2961022000236,,132.27871929999674,132.2961022000236,133.28149170000688,133.29886370000895,134.00259410002036,down,1,0.7113843999977689,None,4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
73,0,73,0,134.02943550000782,,134.0109573000227,134.02943550000782,135.01483480000752,135.0313328000193,136.0852131000138,down,1,1.0660454999888316,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
74,0,74,0,136.11287589999847,,136.09388070000568,136.11287589999847,137.0977693000168,137.11441820001346,137.9000527000171,down,0,0.7850144999974873,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
75,0,75,0,137.9289142000198,,137.90870050000376,137.9289142000198,138.91405960000702,138.93094410002232,139.72013510001125,down,1,0.7952585000020918,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
76,0,76,0,139.745253400004,,139.73023000001558,139.745253400004,140.73110740000266,140.74794319999637,141.30208429999766,up,0,0.5666946000128519,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
77,0,77,0,141.3279933000158,,141.31034100000397,141.3279933000158,142.31330609999713,142.33004910001182,142.9828824000142,down,0,0.6611269999993965,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
78,0,78,0,143.01122480002232,,142.9897004000086,143.01122480002232,143.99625350002316,144.01311930001248,144.9660137000028,up,1,0.9600575000222307,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
79,0,79,0,144.99517120001838,,144.97402819999843,144.99517120001838,145.9794372000033,145.99624649999896,146.81593000001158,down,1,0.8323682000045665,None,2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
80,0,80,0,146.84422850000556,,146.82315450001624,146.84422850000556,147.82907669999986,147.84542250001687,148.48439990001498,down,1,0.6505280999990646,None,3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
81,0,81,0,148.51030960000935,,148.49197500001173,148.51030960000935,149.49619679999887,149.51333070002147,150.30011209999793,up,1,0.7857492000039201,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
82,0,82,0,150.3270717000123,,150.30787099999725,150.3270717000123,151.312751200021,151.3284840999986,151.96533110001474,up,1,0.6439958999981172,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
83,0,83,0,151.99612520000665,,151.97204960000818,151.99612520000665,152.97838820001925,153.01139749999857,153.73267290001968,down,1,0.7403155000065453,None,4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
84,0,84,0,153.75966199999675,,153.741809500003,153.75966199999675,154.74540730001172,154.76260580000235,155.58346740002162,up,1,0.8215810999972746,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
85,0,85,0,155.61088760002167,,155.5918279000034,155.61088760002167,156.60890829999698,156.62507490001735,186.64822540001478,down,0,30.027661500003887,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
86,0,86,0,186.6722434000112,,186.65609289999702,186.6722434000112,187.65711510000983,187.67389830001048,188.21383049999713,down,0,0.5405293999938294,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
87,0,87,0,188.23851710002054,,188.2237848000077,188.23851710002054,189.2240681000112,189.24052059999667,189.74502430000575,down,1,0.5171683999942616,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
88,0,88,0,189.77255590001005,,189.75217180000618,189.77255590001005,190.7568836999999,190.77543550002156,191.67789650001214,down,1,0.917334400000982,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
89,0,89,0,191.70512970001437,,191.68487359999563,191.70512970001437,192.69015490001766,192.70711570000276,193.36016450001625,up,0,0.6596285999985412,None,3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
90,0,90,0,193.3879738000105,,193.366915599996,193.3879738000105,194.3739695000113,194.3903526000213,195.05967950000195,down,0,0.6756030999822542,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
91,0,91,0,195.08806979999645,,195.06687330000568,195.08806979999645,196.07264739999664,196.08996410001419,196.45945049999864,up,1,0.3709663999907207,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
92,0,92,0,196.48760370002128,,196.4663146000239,196.48760370002128,197.4729784000083,197.48907460001647,199.12512850001804,down,1,1.64243819998228,None,2,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
,,,,199.15381310001248,,199.13118550000945,199.15381310001248,200.13896440001554,200.15554690000135,,,,,,,,,,,,,,
