stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
18,0.5,2.0,19.674987799982773,,19.64636149999569,19.674987799982773,20.174904899991816,20.174904899991816,20.194555299996864,20.476239699986763,20.81156609999016,right,2.0,1,1,0.6221260000020266,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
19,0.5,2.0,20.827961699978914,,20.811810199986212,20.827961699978914,21.324156399990898,21.324156399990898,21.341019799991045,21.62524259998463,21.84248639998259,right,2.0,1,1,0.5075080000096932,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
20,0.5,1.5,21.857423799985554,,21.84261749999132,21.857423799985554,22.358070699992822,22.358070699992822,22.358070699992822,22.657942699996056,22.826553199993214,left,-1.5,1,1,0.4578476999886334,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
21,0.5,1.5,22.840638599998783,,22.82670710000093,22.840638599998783,23.342336999980034,23.342336999980034,23.342336999980034,23.641935999999987,23.82920429998194,left,-1.5,1,1,0.4800364999973681,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
22,0.5,1.5,23.84212239997578,,23.82947129997774,23.84212239997578,24.34194959999877,24.34194959999877,24.34194959999877,24.641980299988063,24.995141499995952,left,-1.5,1,1,0.6455751000030432,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
23,0.5,1.0,25.00856779998867,,24.995471699978225,25.00856779998867,25.509342299978016,25.509342299978016,25.509342299978016,25.808190999989165,25.978024699987145,left,-1.0,1,1,0.4619521000131499,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
24,0.5,1.0,25.991692799987504,,25.978294799977448,25.991692799987504,26.492148799996357,26.492148799996357,26.492148799996357,26.792150199995376,27.21178189999773,right,1.0,1,1,0.7160089999961201,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
25,0.5,1.0,27.22530459999689,,27.212008399976185,27.22530459999689,27.725319799996214,27.725319799996214,27.725319799996214,28.02807039997424,28.396716899995226,right,1.0,1,1,0.6554088000266347,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
26,0.5,1.0,28.422669399995357,,28.396948399982648,28.422669399995357,28.9084320999973,28.9084320999973,28.925155299977632,29.208455699990736,29.761822899978142,right,1.0,0,0,0.8403572000097483,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
27,0.5,1.5,29.789723299996695,,29.762159799982328,29.789723299996695,30.27472219997435,30.27472219997435,30.291671899991343,30.575027199985925,31.17751059998409,left,-1.5,1,1,0.8989082000043709,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
28,0.5,1.5,31.191001099999994,,31.17773839997244,31.191001099999994,31.691151899984106,31.691151899984106,31.691151899984106,31.991646999988006,32.37880679999944,right,1.5,1,1,0.6825804999971297,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
29,0.5,1.5,32.4056481999869,,32.379100099991774,32.4056481999869,32.891989199997624,32.891989199997624,32.90858769998886,33.19165029999567,33.444854299974395,left,-1.5,1,1,0.5369953999761492,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
30,0.5,1.0,33.47270389998448,,33.445125300000655,33.47270389998448,33.95833719999064,33.95833719999064,33.97514629998477,34.257955399982166,34.512001799972495,left,-1.0,1,1,0.5461777000164147,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
31,0.5,1.0,34.53900569997495,,34.51227109998581,34.53900569997495,35.02526879997458,35.02526879997458,35.04172670000116,35.32462889997987,35.51139149998198,left,-1.0,1,1,0.47360850000404753,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
32,0.5,1.0,35.53867139999056,,35.511666699982015,35.53867139999056,36.02496389998123,36.02496389998123,36.04124649998266,36.324531199992634,36.64574729997548,right,1.0,1,1,0.6023060999868903,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
33,0.5,1.0,36.672066799976164,,36.646095699979924,36.672066799976164,37.17300049998448,37.17300049998448,37.19042249998893,37.47328119998565,37.81266239998513,right,1.0,1,1,0.6285295000125188,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
34,0.5,1.0,37.838737599988235,,37.81295889997273,37.838737599988235,38.338521099998616,38.338521099998616,38.358007999981055,38.64089659997262,38.82786879999912,left,-1.0,1,1,0.47833330000867136,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
35,0.5,1.0,38.85487119999016,,38.82812819999526,38.85487119999016,39.34051349997753,39.34051349997753,39.35775139997713,39.64079689999926,39.92718209998566,left,-1.0,1,1,0.570543700014241,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
36,0.5,1.0,39.94125439997879,,39.927458999998635,39.94125439997879,40.440927199990256,40.440927199990256,40.440927199990256,40.74116769997636,41.17946459999075,left,-1.0,1,1,0.7275605000031646,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
37,0.5,1.0,41.20482269997592,,41.179739899991546,41.20482269997592,41.691078499978175,41.691078499978175,41.70759229999385,41.99026029999368,42.327029199979734,left,-1.0,1,1,0.6232412000244949,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
38,0.5,1.0,42.3545499999891,,42.32732509999187,42.3545499999891,42.84038289997261,42.84038289997261,42.857233399990946,43.141918299981626,43.32793609998771,right,1.0,1,1,0.48099829998682253,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
39,0.5,1.0,43.354690199979814,,43.32819709999603,43.354690199979814,43.84026449997327,43.84026449997327,43.85712669999339,44.140155699977186,44.3593172999972,right,1.0,1,1,0.5039246999949683,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
40,0.5,1.0,44.373287399997935,,44.35959779997938,44.373287399997935,44.87336599998525,44.87336599998525,44.87336599998525,45.17379069997696,45.559799599985126,right,1.0,1,1,0.6774401000002399,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
41,0.5,1.0,45.58756629997515,,45.56011209997814,45.58756629997515,46.07330669998191,46.07330669998191,46.09039399999892,46.3731337999925,47.35940079999273,left,-1.0,0,0,1.2776624000107404,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
42,0.5,1.5,47.373661699995864,,47.359676299995044,47.373661699995864,47.87370979998377,47.87370979998377,47.88965849997476,48.17389309999999,48.37584639998386,left,-1.5,1,1,0.49333880000631325,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
43,0.5,1.5,48.388838399987435,,48.3760705999739,48.388838399987435,48.889386999973794,48.889386999973794,48.889386999973794,49.18904059997294,49.50895849999506,left,-1.5,1,1,0.6127578000014182,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
44,0.5,1.5,49.52287190000061,,49.509215599973686,49.52287190000061,50.022130599973025,50.022130599973025,50.022130599973025,50.32222199998796,50.60939739999594,right,1.5,1,1,0.5838163000007626,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
45,0.5,1.0,50.636547399975825,,50.60968879997381,50.636547399975825,51.121942099998705,51.121942099998705,51.1396909999894,51.422917399992,51.92583329998888,left,-1.0,0,0,0.7934584000031464,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
46,0.5,1.5,51.95341649997863,,51.92614820000017,51.95341649997863,52.43830309997429,52.43830309997429,52.45548519998556,52.73848709999584,52.990822599997045,right,1.5,1,1,0.5432715999777429,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
47,0.5,1.5,53.00525529999868,,52.99105189999682,53.00525529999868,53.505055699992226,53.505055699992226,53.505055699992226,53.80527209999855,53.957407599984435,right,1.5,1,1,0.44213930002297275,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
48,0.5,1.5,53.972131199989235,,53.95763439999428,53.972131199989235,54.47187079998548,54.47187079998548,54.47187079998548,54.77170469998964,55.30800969997654,left,-1.5,1,1,0.8210531999939121,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
49,0.5,1.0,55.321845999977086,,55.30824259997462,55.321845999977086,55.82151419998263,55.82151419998263,55.82151419998263,56.121614699979546,56.40725349998684,right,1.0,1,1,0.5772148999967612,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
