trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,0,22,0,41.923721299972385,,41.795784900023136,10,41.923721299972385,41.923721299972385,0.09788860002299771,43.32859809999354,[-0.44333333333333336],[0.16166666666666665],[1],[0],[0],[1.438600099994801],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
23,0,23,0,43.523306699993555,,43.348736400017515,10,43.523306699993555,43.523306699993555,0.1447929999558255,45.325859699980356,[0.27666666666666667],[0.36833333333333335],[1],[0],[0],[1.8370944000198506],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
24,0,24,0,45.43968379998114,,45.3357476000092,10,45.43968379998114,45.43968379998114,0.0782486999523826,46.7766959000146,[-0.12666666666666668],[0.13666666666666666],[1],[0],[0],[1.3635006999829784],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
25,0,25,0,46.90617309999652,,46.793673100008164,10,46.90617309999652,46.90617309999652,0.0806198000209406,48.11167630000273,[-0.25833333333333336],[0.18833333333333332],[1],[0],[0],[1.2415145999984816],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
26,0,26,0,48.257482299988624,,48.131351999996696,5,48.257482299988624,48.257482299988624,0.07979039999190718,49.81312180001987,[0.385],[-0.21166666666666667],[1],[0],[0],[1.606065200001467],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
27,0,27,0,50.05702599999495,,49.83296289999271,10,50.05702599999495,50.05702599999495,0.15644150000298396,51.72940740000922,[-0.145],[0.14833333333333334],[1],[0],[0],[1.7424260000116192],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
28,0,28,0,51.956824900000356,,51.745935400016606,10,51.956824900000356,51.956824900000356,0.1470710000139661,53.47740390000399,[0.49166666666666664],[-0.135],[1],[0],[0],[1.5869792000157759],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
29,0,29,0,53.622273200016934,,53.49380649998784,10,53.622273200016934,53.622273200016934,0.1072211999562569,55.75783999997657,[-0.45166666666666666],[-0.12166666666666667],[1],[0],[0],[2.1612611999735236],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
30,0,30,0,55.82204990001628,,55.76573719998123,5,55.82204990001628,55.82204990001628,0.0399193000048399,57.242551299976185,[-0.19833333333333333],[0.16166666666666665],[1],[0],[0],[1.4380330000421964],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
31,0,31,0,57.371874500007834,,57.251916599983815,10,57.371874500007834,57.371874500007834,0.08778820000588894,60.42767180001829,[-0.08166666666666667],[0.24833333333333332],[1],[0],[0],[3.088895599998068],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
32,0,32,0,60.57301270001335,,60.4454354000045,5,60.57301270001335,60.57301270001335,0.07786730001680553,62.87689449999016,[0.36833333333333335],[0.225],[1],[0],[0],[2.3563690000446513],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
33,0,33,0,63.10470169998007,,62.89286889997311,10,63.10470169998007,63.10470169998007,0.14895409997552633,64.52546739997342,[0.2733333333333333],[-0.37666666666666665],[1],[0],[0],[1.4869319000281394],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
34,0,34,0,64.70433460001368,,64.54285780002829,10,64.70433460001368,64.70433460001368,0.1364006000221707,65.92605230002664,[-0.08666666666666667],[0.10166666666666667],[1],[0],[0],[1.249936800042633],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
